name;surname;birthDate;gender;maritialStatus;numberOfChildrens;priceFactor
Gabrielle;Steele;05/18/1985 13:03;female;married;4;0.7
Kace;Vasquez;08/23/1972 11:11;male;single;1;1.17
Tucker;Middleton;10/04/1999 14:30;male;single;3;1.46
Freya;Giles;02/28/1996 22:00;female;married;1;0.81
Lilah;Bradley;10/18/1991 11:51;female;married;3;0.73
Kyng;Mcclain;06/25/1956 08:00;male;married;3;0.73
Luella;Phelps;07/28/1992 13:52;female;single;3;1.36
Jayda;Pitts;11/27/1948 05:42;female;married;1;1.09
Maxwell;Lester;06/15/1949 18:53;male;married;4;1.01
Jonah;Wynn;10/15/1997 01:42;male;single;3;1.04
Franklin;Trujillo;05/25/1998 11:43;male;single;2;1.48
Londyn;Hughes;08/24/1995 10:05;female;single;2;1.17
Zane;Ware;07/23/1991 00:34;male;married;2;0.79
Ashton;Cabrera;04/09/1986 10:28;male;married;4;0.87
Louis;Schwartz;06/22/1973 02:32;male;single;3;1.1
Maverick;Johnston;09/23/1955 14:31;male;married;3;0.9
Jimmy;Gilmore;05/26/1996 14:55;male;married;2;0.88
Dylan;Browning;12/07/1942 03:24;male;married;2;1.22
Karen;Macias;12/29/1995 17:19;female;married;3;1.18
Jayla;Clements;02/09/1949 12:36;female;married;4;0.95
Maren;Lucas;05/26/1946 02:51;female;married;4;0.57
Caden;Duran;04/07/1963 06:06;male;married;0;0.7
Rocky;Sawyer;03/24/1997 08:40;male;married;3;1.12
Alessandra;Morris;07/15/1974 10:38;female;married;1;0.54
Miah;Gilliam;05/13/1958 21:21;female;married;1;0.87
Jamal;Snyder;07/27/1953 20:21;male;single;4;0.67
Rhett;Miller;05/17/1975 06:09;male;single;3;0.59
Ricky;Case;05/24/1968 13:37;male;single;0;1.43
Adaline;Salazar;06/11/1951 18:16;female;married;3;1.22
Phoebe;Gross;11/06/1955 06:23;female;married;4;1.43
Autumn;Matthews;01/28/1955 08:32;female;single;4;0.82
Alexandra;Fowler;06/14/1972 22:08;female;married;2;1.04
Nikolas;Albert;04/27/1943 08:37;male;married;2;1.42
Kynlee;Vincent;04/21/1964 14:27;female;married;0;0.56
Riley;Hatfield;02/16/1941 16:43;female;single;2;0.62
Jabari;Nixon;08/09/1970 21:45;male;single;0;0.97
Peyton;Boyd;07/10/1994 22:20;male;married;1;1.47
Arielle;Wade;05/22/1954 06:52;female;married;1;0.98
Ares;Bell;12/18/1973 10:15;male;single;0;1.16
Brooks;Kelley;11/16/1982 15:40;male;single;1;0.76
Porter;Stout;06/15/1993 19:48;male;single;3;0.89
Salvatore;Leonard;08/06/1965 04:46;male;single;0;0.7
Zola;Chase;07/20/1987 18:42;female;single;3;1.06
Layne;Morse;11/05/1962 12:54;male;single;0;1.0
Aspen;Phillips;04/17/1984 08:10;female;married;3;0.73
Otis;Brock;03/13/1943 20:19;male;single;1;1.17
Samara;Fuentes;02/12/1985 07:01;female;single;1;1.35
Dash;Howard;07/29/1965 14:13;male;married;3;1.42
Amber;Kirkland;07/23/1963 15:07;female;married;4;0.95
Emmalyn;Merrill;05/18/1955 22:27;female;married;2;1.27
Skyler;Brooks;12/20/1976 04:08;female;single;0;0.68
Eden;Mcintyre;07/11/1994 21:42;male;single;3;0.84
Christina;Beach;07/08/1993 17:29;female;single;3;0.59
Winnie;Howard;08/26/1985 18:43;female;married;3;0.76
Thomas;Gates;09/19/1995 04:20;male;married;1;1.03
Wallace;Mercer;03/03/1986 14:54;male;married;0;1.04
Adrian;Greene;03/20/1970 19:00;male;married;4;0.94
Jax;Dorsey;04/10/1944 19:24;male;married;3;0.87
Aden;Holman;11/30/1970 13:29;male;single;1;0.51
Braelynn;Ayers;09/06/1945 22:31;female;married;3;0.79
Maximilian;Wynn;06/27/1988 20:19;male;single;2;1.06
Leroy;Luna;01/12/1966 04:52;male;single;1;1.15
Briella;Pitts;08/31/1979 05:53;female;married;3;1.2
Peyton;Rice;12/07/1978 03:57;female;married;2;0.66
Bruce;Cox;11/15/1970 17:49;male;single;4;1.0
Hayes;Dotson;08/21/1959 03:48;male;single;2;0.98
Kaden;Carpenter;08/30/1989 23:02;male;single;2;1.1
Alicia;Mcleod;05/11/1940 11:25;female;single;4;1.34
Jasiah;Osborn;03/09/1949 13:24;male;single;4;1.06
Lilah;Dillard;03/11/1985 22:58;female;married;2;1.09
Jayla;Marks;08/10/1979 17:07;female;single;2;0.96
Kabir;Navarro;03/03/1977 08:26;male;single;0;1.42
Daniela;Castro;05/20/1972 09:44;female;single;1;1.43
Carlos;Chen;10/11/1944 00:59;male;married;4;0.76
Kyle;Schwartz;05/15/1993 23:46;male;single;3;0.95
Ann;Robbins;02/13/1949 02:08;female;single;3;0.53
Axton;Dejesus;04/15/1965 13:24;male;single;3;0.68
Brinley;Snyder;12/04/1943 06:57;female;married;1;0.51
Mylah;Mercado;11/14/1993 17:49;female;married;3;0.95
Ayan;Hardin;07/12/1941 04:07;male;single;1;1.3
Jagger;White;04/14/1947 09:43;male;single;4;1.01
Meilani;Guzman;08/10/1951 04:16;female;single;1;1.24
Delilah;Fuller;12/12/1948 16:36;female;single;4;0.51
Jackson;Hurley;12/23/1983 02:08;male;single;4;0.79
Melody;Hoffman;05/06/1955 07:46;female;married;1;0.65
Daniella;Hayden;10/21/1966 18:54;female;single;3;1.21
Quentin;Farmer;05/27/1976 03:06;male;single;2;1.44
Kimber;Conway;01/26/1959 19:03;female;single;4;1.4
Mathias;Miles;07/11/1970 11:46;male;married;2;0.96
Harlow;Blackburn;05/19/1972 21:41;female;married;1;0.86
Alistair;Jacobs;04/13/1947 18:34;male;single;2;0.68
Francesca;Osborne;12/04/1950 12:52;female;married;3;0.97
Brett;Everett;04/13/1977 03:00;male;married;4;1.44
Noe;Oneil;09/13/1943 17:00;male;single;4;1.35
Amayah;House;03/10/1945 08:25;female;married;0;1.14
Sawyer;Contreras;05/15/2000 17:47;male;married;2;0.61
Lila;Baker;07/14/1947 17:02;female;married;0;0.84
Margo;Reese;11/15/1944 19:16;female;married;0;1.44
Corey;Peterson;12/10/1973 05:55;male;married;0;0.5
King;Collins;02/23/1984 12:10;male;single;1;0.65
Christian;Ochoa;08/28/1975 11:41;male;married;1;0.94
Phoenix;Dotson;03/08/1976 04:11;female;married;0;0.93
Brodie;Bolton;09/30/1998 06:30;male;married;1;0.5
Michelle;James;06/13/1960 16:26;female;married;4;0.82
Soren;Bowen;11/23/1977 07:04;male;single;0;0.82
Everlee;Rosa;02/13/1977 03:13;female;single;4;1.08
Armando;Barrett;04/03/1947 12:22;male;single;0;1.16
Aleena;Phelps;06/06/1951 11:48;female;married;1;1.21
Jayda;Rojas;02/22/1965 23:55;female;married;3;0.83
Maren;Rice;07/28/1971 13:08;female;single;2;0.86
